0x00AD Name: GET_ALL_OBJECTIVES                           flags: 0x011E
0x00AE Name: GET_ALL_OBJECTIVE_PROPS                      flags: 0x0186
0x00AF Name: UPDATE_RESOURCE_STRINGS                      flags: 0x01EC
0x00B0 Name: GET_DEVICE_MODE_FIRES_PER_SECOND             flags: 0x0063
0x00B1 Name: CHECK_MAP_INSTANCE                           flags: 0x01CA
0x00B2 Name: GET_ALL_MESH_ASM_ANIM_SETS                   flags: 0x100001C7
0x00B3 Name: DELETE_CHARACTER                             flags: 0x1000000A
0x00B4 Name: AGENCY_CREATE                                flags: 0x1000006D
0x00B5 Name: AGENCY_INVITE                                flags: 0x006C
0x00B6 Name: AGENCY_INVITATION                            flags: 0x10000069
0x00B7 Name: AGENCY_ACCEPT_INVITE                         flags: 0x10000068
0x00B8 Name: AGENCY_REJECT_INVITE                         flags: 0x006B
0x00B9 Name: AGENCY_EXPIRED_INVITE                        flags: 0x006A
0x00BA Name: AGENCY_JOIN                                  flags: 0x1000008B
0x00BB Name: AGENCY_PROMOTE                               flags: 0x10000089
0x00BC Name: AGENCY_DEMOTE                                flags: 0x100000F2
0x00BD Name: AGENCY_REMOVE                                flags: 0x100000F3
0x00BE Name: AGENCY_DISBAND                               flags: 0x0127
0x00BF Name: AGENCY_PLAYER_REMOVE                         flags: 0x005F
0x00C0 Name: AGENCY_PLAYER_ADD                            flags: 0x1000007D
0x00C1 Name: AGENCY_LEAVE                                 flags: 0x10000172
0x00C2 Name: AGENCY_GET_ROSTER                            flags: 0x10000171
0x00C3 Name: AGENCY_SET_SITE_ID                           flags: 0x100000FA
0x00C4 Name: AGENCY_SET_NOTE                              flags: 0x00F8
0x00C5 Name: AGENCY_UPDATE                                flags: 0x100001AF
0x00C6 Name: AGENCY_SET_OWNER                             flags: 0x1000015A
0x00C7 Name: AGENCY_BUILD_HEX                             flags: 0x10000159
0x00C8 Name: AGENCY_UPDATE_HEX                            flags: 0x10000158
0x00C9 Name: AGENCY_UPDATE_TAX                            flags: 0x10000013
0x00CA Name: AGENCY_UPDATE_RECRUITING                     flags: 0x10000169
0x00CB Name: AGENCY_UPDATE_RANKS                          flags: 0x10000014
0x00CC Name: AGENCY_ADD_INVENTORY                         flags: 0x100001B0
0x00CD Name: AGENCY_MAIL_INVENTORY                        flags: 0x10000015
0x00CE Name: AGENCY_REMOVE_INVENTORY                      flags: 0x10000101
0x00CF Name: AGENCY_UPDATE_CURRENCY                       flags: 0x10000102
0x00D0 Name: AGENCY_GET_DIRECTORY                         flags: 0x10000016
0x00D1 Name: ALLIANCE_CREATE                              flags: 0x10000017
0x00D2 Name: ALLIANCE_DISBAND                             flags: 0x100000B0
0x00D3 Name: ALLIANCE_REMOVE                              flags: 0x1000001A
0x00D4 Name: ALLIANCE_INVITE                              flags: 0x0019
0x00D5 Name: ALLIANCE_INVITATION                          flags: 0x10000030
0x00D6 Name: ALLIANCE_ACCEPT_INVITE                       flags: 0x10000018
0x00D7 Name: ALLIANCE_REJECT_INVITE                       flags: 0x0031
0x00D8 Name: ALLIANCE_EXPIRED_INVITE                      flags: 0x0032
0x00D9 Name: ALLIANCE_INVITE_TIMEOUT                      flags: 0x1000015B
0x00DA Name: ALLIANCE_GET_MEMBER_LIST                     flags: 0x100001D2
0x00DB Name: ALLIANCE_SET_NOTE                            flags: 0x00FF
0x00DC Name: CLOSE_CONNECTION                             flags: 0x0187
0x00DD Name: DROP_PLAYER                                  flags: 0x002F
0x00DE Name: DROP_INSTANCE                                flags: 0x0115
0x00DF Name: PING                                         flags: 0x0116
0x00E0 Name: UPDATE_SERVER                                flags: 0x400001A5
0x00E1 Name: MATCH_JOIN                                   flags: 0x400001EA
0x00E2 Name: MATCH_ACCEPT                                 flags: 0x4000001B
0x00E3 Name: MATCH_LEAVE                                  flags: 0x009C
0x00E4 Name: MATCH_INVITATION                             flags: 0x0126
0x00E5 Name: MATCH_EXPIRED_INVITE                         flags: 0x001C
0x00E6 Name: MATCH_TEAM_LEAVE                             flags: 0x0024
0x00E7 Name: MATCH_NO_REFILL                              flags: 0x0023
0x00E8 Name: MATCH_LAUNCH                                 flags: 0x0022
0x00E9 Name: MATCH_CHECK_ENTRY                            flags: 0x0021
0x00EA Name: GET_QUEUE_LIST                               flags: 0x0029
0x00EB Name: GET_QUEUE_DETAIL                             flags: 0x001D
0x00EC Name: GET_PLAYER_DETAIL                            flags: 0x0156
0x00ED Name: GET_QUEUE_INSTANCES                          flags: 0x0193
0x00EE Name: ADD_PLAYER                                   flags: 0x00EC
0x00EF Name: GET_ALL_ITEM_MESH_ASM_GROUPS                 flags: 0x0125
0x00F0 Name: GET_ALL_DEVICE_MESH_ASM_GROUPS               flags: 0x011F
0x00F1 Name: GET_ALL_DEVICE_ANIM_SET_GROUPS               flags: 0x0100
0x00F2 Name: GET_ALL_SPECIAL_FX_PSC                       flags: 0x0086
0x00F3 Name: GET_ALL_SPECIAL_FX_SOUNDS                    flags: 0x1000011D
0x00F4 Name: STATS_GET_CHARACTER_AVERAGES                 flags: 0x0185
0x00F5 Name: REMOVE_CHAR_ITEM_PROFILE                     flags: 0x0103
0x00F6 Name: MAP_SEL_LIST_GET_BY_TYPE                     flags: 0x10000087
0x00F7 Name: MAP_GET_MEMBER_LIST                          flags: 0x01EB
0x00F8 Name: GET_ALL_XP_LEVELS                            flags: 0x002A
0x00F9 Name: GET_ALL_EVENT_REWARDS                        flags: 0x009D
0x00FA Name: GET_ALL_XP_CAPS                              flags: 0x016E
0x00FB Name: STATS_SAVE_CHAR_XP_AUDIT                     flags: 0x01CB
0x00FC Name: GET_ALL_ED_VALID_VALUES                      flags: 0x01C9
0x00FD Name: GSC_CHANGE_MAP_TIMEOUT                       flags: 0x01CE
0x00FE Name: MISSION_CREATE                               flags: 0x01C8
0x00FF Name: GET_GAME_USED_RESOURCES                      flags: 0x00EB
0x0100 Name: GET_PLAYER_USED_RESOURCES                    flags: 0x00ED
0x0101 Name: GET_DATA_GAME_RESOURCES                      flags: 0x00EA
0x0102 Name: GET_DATA_PLAYER_USED_RESOURCES               flags: 0x002B
0x0103 Name: GET_PRODUCTION_MAP_GAME_LIST                 flags: 0x002C
0x0104 Name: STATS_SAVE_CHAR_STATS_LOG                    flags: 0x0110
0x0105 Name: STATS_SAVE_INST_STATS_LOG                    flags: 0x40000113
0x0106 Name: GET_TICKET_INFO                              flags: 0x0114
0x0107 Name: UPDATE_PLAYER_REWARD                         flags: 0x0106
0x0108 Name: STATS_SAVE_CHAR_DEVICE_LOG                   flags: 0x01DD
0x0109 Name: LOAD_MERCENARIES                             flags: 0x0080
0x010A Name: VOIP_OPEN_CHANNEL                            flags: 0x01EE
0x010B Name: VOIP_CLOSE_CHANNEL                           flags: 0x01EF
0x010C Name: VOIP_ADD_USER                                flags: 0x012C
0x010D Name: VOIP_REMOVE_USER                             flags: 0x0122
0x010E Name: VOIP_OPEN_USER                               flags: 0x01ED
0x010F Name: VOIP_CLOSE_USER                              flags: 0x0123
0x0110 Name: GET_SUMMARY                                  flags: 0x10000054
0x0111 Name: LIST_ACTIVE_INSTANCES                        flags: 0x0160
0x0112 Name: PURCHASE_ITEM                                flags: 0x015F
0x0113 Name: GET_TEAM_LIST                                flags: 0x0042
0x0114 Name: GET_TEAM_PLAYERS                             flags: 0x0041
0x0115 Name: GET_INSTANCE_ATTACKERS                       flags: 0x00FD
0x0116 Name: GET_INSTANCE_DEFENDERS                       flags: 0x10030034
0x0117 Name: DEV_MAP_CHANGE                               flags: 0x0046
0x0118 Name: WEB_GSC_REQUEST                              flags: 0x0047
0x0119 Name: WEB_MATCH_REQUEST                            flags: 0x0035
0x011A Name: WEB_WORLD_REQUEST                            flags: 0x0043
0x011B Name: GET_ALL_DEVICE_UNLOCK_GROUPS                 flags: 0x0044
0x011C Name: GET_ALL_DEVICE_UNLOCK_LISTS                  flags: 0x0055
0x011D Name: GET_PRODUCTION_DEVICES                       flags: 0x0036
0x011E Name: GET_ALL_PRODUCTION_DEVICE_RESOURCES          flags: 0x0037
0x011F Name: GET_PLAYER_PART_MESHES                       flags: 0x0038
0x0120 Name: GET_ALL_PLAYER_PART_RESOURCES                flags: 0x0039
0x0121 Name: GET_ALL_DEVICE_USED_ANIMSETS                 flags: 0x1001003A
0x0122 Name: GM_BANNED                                    flags: 0x1001019E
0x0123 Name: GM_KICKED                                    flags: 0x1000003B
0x0124 Name: PLAYER_REPORTED                              flags: 0x1001003D
0x0125 Name: GET_PLAYER_INFO                              flags: 0x1000003C
0x0126 Name: GET_LOOT_TABLE_ITEMS_BY_ID_FILTERED          flags: 0x003E
0x0127 Name: GET_ALL_SUB_SKILLS                           flags: 0x003F
0x0128 Name: PLAYER_UPDATE_OTHERS                         flags: 0x0040
0x0129 Name: INSTANCE_LAUNCH_TIMEOUT                      flags: 0x01BB
0x012A Name: INSTANCE_EMPTY_TIMEOUT                       flags: 0x018C
0x012B Name: GET_ALL_MESH_ASM_MORPH_SETS                  flags: 0x018D
0x012C Name: GIVE_REWARD_DETAILS                          flags: 0x502301B8
0x012D Name: CHEAT_WORLD                                  flags: 0x0190
0x012E Name: HEX_ZONE_UPDATE_EVENT                        flags: 0x5020018F
0x012F Name: HEX_CANCEL_UPDATES                           flags: 0x014C
0x0130 Name: HEX_INVITATION                               flags: 0x50200199
0x0131 Name: HEX_REJECT_INVITE                            flags: 0x01A1
